sentence_id,something_1,used,for,something_2,something_1_first_index,something_1_last_index,used_first_index,used_last_index,for_first_index,for_last_index,something_2_first_index,something_2_last_index,sentence_text
192239,term,used,for,all,23,23,24,24,27,27,28,28,"Hill tribe ( , ) ( Northern Thai : จาวดอย , คนดอย , ; ' mountain people / folk ' ) is a term used in Thailand for all of the various ethnic groups who mostly inhabit the high mountainous northern and western regions of Thailand , including both sides of the border areas between northern Thailand , Laos and Burma , the Phi Pan Nam Range , the Thanon Range , the latter a southern prolongation of the Shan Hills , as well as the Tenasserim Hills in Western Thailand ."
199045,transactions,used,for,valuation,31,31,32,32,33,33,34,34,"Valuing trophy property for federally financed land acquisitions is unique among appraisal assignments , in that supplemental standards proffered by many ( but not all ) federal agencies require that comparable transactions used for valuation be limited to those with an "" economic use "" and not those acquired solely for "" preservation "" purposes ."
201168,hash,used,for,signatures,11,11,12,12,13,13,15,15,TLS 1.2 ( 2008 ) introduced a means to identify the hash used for digital signatures .
207998,facility,used,for,Training,12,12,13,13,14,14,15,15,Camp Gruber is an Oklahoma Army National Guard ( OKARNG ) training facility used for Training of OKARNG soldiers .
212121,music,used,for,cartoon,43,43,44,44,45,45,51,51,"An expanded and complete 56.32 minute version of Steven 's original film score , limited to 1,000 copies , was released on CD in 2012 by Monstrous Movie Music ( # MMM-1967 ) ; also on the CD is Clarence Wheeler 's incidental music used for the film 's Woody Woodpecker cartoon ."
220439,phrase,used,for,young,11,11,13,13,14,14,16,16,"The band got the name as a rebellious reaction to the phrase commonly used for the young , being "" green "" ."
223015,name,used,for,mission,10,10,11,11,16,16,18,18,Operation Freedom 's Sentinel ( OFS ) is the official name used by the U.S. Government for the mission succeeding Operation Enduring Freedom ( OEF ) in continuation of the Global War on Terrorism .
225751,name,used,for,September,4,4,5,5,6,6,7,7,"Hobbit Day is a name used for September 22 in reference to its being the birthday of the hobbits Bilbo and Frodo Baggins , two fictional characters in J. R. R. Tolkien 's popular set of books "" The Hobbit "" and "" The Lord of the Rings "" ."
228456,rooms,used,for,families,22,22,24,24,25,25,26,26,"The Main Block part of the annex building having 33 rooms , including the three VIP Suits and Additional Block having 30 rooms mainly used for families of officials and staff of Kerala House ."
232516,credits,used,for,export,46,46,47,47,48,48,49,49,"Affiliated to the Ministry of Commerce , the Export Guarantee Fund of Iran has been established in order to expand and promote exports , to protect exporters against non - commercial risks , which are normally not covered by the insurance companies , and to guarantee credits used for export of such goods and services ."
234658,techniques,used,for,purposes,6,6,7,7,8,8,10,10,"As there exist a number of techniques used for such purposes , they can be split into one of two classifications ; first generation techniques and second generation techniques ."
238022,fuels,used,for,heating,4,4,5,5,6,6,7,7,The Committee recommended exempting fuels used for heating or transportation in farming activities .
239457,medium,used,for,identification,17,17,18,18,19,19,21,21,"Cystine tryptic agar ( CTA ) , also known as cystine trypticase agar , is a growth medium used for the identification of microorganisms ."
246648,reference,used,for,band,2,2,3,3,6,6,9,9,"The price reference used by Petromatrix for the shale band is based on the CME WTI futures contract for the month of December of the next calendar year , a contract also known as the Red December contract ."
250142,name,used,for,region,2,2,3,3,4,4,6,6,"The Christian name used for the region encompassing north - eastern Arabia was Beth Qatraye , or "" the Isles "" ."
254547,haddock,used,for,dish,26,26,29,29,30,30,32,32,"Finnan has a long association with the traditional Scottish fish soup , Cullen skink and most old Scottish recipe books cite Finnan haddie as the smoked haddock to be used for this dish ."
255867,shapes,used,for,gown,4,4,5,5,9,9,12,12,There are two distinctive shapes used in the UK for doctor 's gown ; the Oxford doctor 's shape and the Cambridge doctor 's shape .
259709,rooms,used,for,services,53,53,54,54,55,55,56,56,"Architect Walter Netsch said he was inspired in his design by the Sainte - Chapelle cathedral in Paris , the Cathedral of Chartres and the Basilica of San Francesco d'Assisi the upper portion houses a multi - denomination Protestant chapel ; downstairs are a Catholic chapel , a Jewish chapel , and interfaith rooms used for services of other religions ."
262912,synonym,used,for,nirvana,6,6,8,8,9,9,10,10,"According to Steven Collins , a synonym widely used for nirvana in early texts is "" deathless "" or "" deathfree "" ( Pali : "" amata , "" sanskrit "" : amrta "" ) and refers to a condition "" where there is no death , because there is also no birth , no coming into existence , nothing made by conditioning , and therefore no time . """
269000,material,used,for,cooking,5,5,6,6,7,7,8,8,"Natural gas , the same material used for cooking and heating , is piped into the tank of Diesel fuel , and the resulting mixture then swirls up and through a wheel - shaped filter wrapped with four different metal catalysts   — cobalt , among others ."
273522,atom,used,for,techniques,5,5,8,8,9,9,12,12,"Helium is the best suited atom to be used for surface scattering techniques , as it has a low enough mass that multiple phonon scattering events are unlikely , and its closed valence electron shell makes it inert , unlikely to bond with the surface upon which it impinges ."
273525,techniques,used,for,studies,4,4,5,5,6,6,10,10,There are two main techniques used for helium atom scattering studies .
275178,piece,used,for,removal,5,5,9,9,13,13,15,15,A conveyor bridge is a piece of mining equipment used in strip mining for the removal of overburden and for dumping it on the inner spoil bank of the open - cut mine .
278095,temperature,used,for,curing,2,2,3,3,4,4,5,5,"If the temperature used for curing is too low for the particular matrix used , complete degassing might not occur ."
278096,temperature,used,for,curing,4,4,5,5,6,6,7,7,"However , if the temperature used for curing is too high for a particular matrix , gelation might occur too rapidly and voids may still be present ."
278962,chassis,used,for,motorhomes,46,46,47,47,48,48,49,49,"The "" LT-9 "" served as GM 's truck - based heavy emissions variant of the supplied in K20 / K30 pickups , G model passenger and cargo vans ( built in Lordstown , OH and later in Flint , MI ) and with the P30 chassis used for motorhomes and stepvans ."
281890,SRAM,used,for,caches,29,29,30,30,31,31,41,41,"For a large cache memory ( as typically found in a high - performance microprocessor ) , Z - RAM would then have been potentially as fast as the SRAM used for conventional on - processor ( L1 / L2 ) caches , but with lower surface area ( and thus cost ) ."
283326,forecourt,used,for,parking,14,14,15,15,16,16,18,18,This building occupies the centre of the site facing east onto a large asphalted forecourt used for car parking .
285049,term,used,for,minors,1,1,2,2,3,3,4,4,Another term used for minors who smuggle people across the Mexico – United States border
289488,word,used,for,children,4,4,5,5,6,6,8,8,"It is the same word used for "" children "" in ."
299691,sequence,used,for,titles,11,11,12,12,13,13,16,16,All four episodes of this story feature a specially designed graphics sequence used for the opening titles and closing credits .
308064,residence,used,for,Institute,8,8,18,18,19,19,25,25,"Another blue plaque shows Jacobs ' central London residence at 15 Gloucester Gate , Regents Park ( later used for the Prince of Wales 's Institute of Architecture ) ."
311865,principle,used,for,purpose,25,25,31,31,32,32,36,36,"The paper goes on to counsel , however , that using "" K "" for both a MAC and as the session key violates the principle that keys should not be used for more than one purpose , and presents various workarounds ."
312269,barrels,used,for,aging,23,23,25,25,26,26,27,27,"It is distilled in a continuous column still to between 86 % and 88 % alcohol , and then aged in charred oak barrels previously used for aging bourbon ."
312430,types,used,for,systems,7,7,11,11,12,12,14,14,AlGaInP is one of the two main types of LEDs presently used for lighting systems .
312965,names,used,for,village,1,1,2,2,3,3,5,5,"Other names used for the village were : Filipovo Selo ( in Serbian ) , Kindlingen , Sankt Philipp ( in German ) , Szentfülöp , Szent - Fülöp ( in Hungarian ) and Filipovo ( in Croatian ) ."
329485,term,used,for,interactions,1,1,4,4,5,5,7,7,"The term , initially used for intraspecific interactions , was popularized by Eugene Odum ( 1953 ) , although other authors prefer to use the terms "" cooperation "" or "" mutualism "" ."
332896,mug,used,for,protection,13,13,15,15,16,16,17,17,"These include the toothbrush , used to clean up stains ; the coffee mug , used for protection ; the spoon , used to dig holes ; and the squirter , used to hold fluids and squirt them ."
337267,name,used,for,group,12,12,13,13,14,14,16,16,"Araldo Telefonico ( "" Telephone Herald "" in English ) was the name used for a group of telephone newspaper systems located in Italy , which provided news and entertainment programming over telephone lines to subscribing homes and businesses . Beginning with the capital city of Rome in 1910 , this was the most widely implemented of the various telephone newspaper operations , however , in the early 1920s , the systems were merged with , and eventually superseded by , the development of radio broadcasting ."
339776,vans,used,for,minibuses,2,2,3,3,4,4,7,7,Examples of vans used for these conversion minibuses are :
339792,vehicles,used,for,type,2,2,3,3,4,4,6,6,Examples of vehicles used for this type of minibuses are :
345505,grade,used,for,leadworking,2,2,3,3,4,4,5,5,The solder grade used for leadworking is plumber 's solder ( 80 % lead / 20 % tin ) .
346614,march,used,for,opening,9,9,11,11,12,12,14,14,"For the Finale Stiles used the 1903 "" Inaugural march "" used for the opening of Her Majesty 's Theatre in Sydney ."
358419,buildings,used,for,storehouses,12,12,14,14,15,15,16,16,"Today the ruins of about seventy buildings can be seen , including buildings once used for storehouses , temples , and kitchens ."
359090,electricity,used,for,operations,28,28,37,37,41,41,43,43,"Heat can also be recovered from the engine generator and used for space or floor heating , water heating or steam production to offset the cost of purchased electricity , propane , natural gas or gas oil used on the farm for daily operations ” ."
360569,aircraft,used,for,jump,1,1,2,2,3,3,5,5,"The aircraft used for the jump was a C-130 Hercules , which in the film had M 's office installed in the aircraft cabin ."
361264,name,used,for,market,27,27,28,28,29,29,32,32,"Coca - Cola replaced Nestea with its Fuze Beverage brand , but due to the word "" füze "" meaning "" missile "" in Turkish , the name used for the Turkish market is Fuse Tea ."
361506,singers,used,for,release,17,17,20,20,21,21,23,23,"Besides Bobby Orlando , who figured in all releases of the group , there were different session singers and models used for each release ."
374562,species,used,for,consumption,11,11,20,20,21,21,23,23,"They exploit about 170 agricultural species and cultivars including domesticated forest species , fruits , medicinal plants and vegetables , used for personal consumption or for barter with relatives and neighbours ."
377245,version,used,for,video,1,1,5,5,6,6,9,9,"The version of the track used for the music video was different from the album version , since West 's verse was not included in it and he did n't appear in the video either ."
382948,style,used,for,communication,7,7,8,8,9,9,11,11,Colloquialism or colloquial language is the linguistic style used for casual communication .
386379,CUs,used,for,outbuildings,1,1,2,2,3,3,4,4,Secondary CUs used for outbuildings usually have 1 to 4 ways plus an RCD .
392860,Technology,used,for,refinement,0,0,1,1,2,2,4,4,"Technology used for oil refinement and trading centres in Singapore is on the cutting edge , and many well - established petroleum businesses , such as Exxon Mobil and Lanxess , are based in Singapore , owing to the country 's "" safe environment "" and ideal trading location ."
398240,hardware,used,for,reading,24,24,25,25,26,26,27,27,"If the work is to be distributed electronically , the final files are saved in formats appropriate to the target operating systems of the hardware used for reading ."
402879,goods,used,for,consumption,9,9,10,10,11,11,12,12,"Group B was "" consumer goods "" , final goods used for consumption , which included food , clothing and shoes , housing , and such heavy - industry products as appliances and fuels that are used by individual consumers ."
406433,chief,used,for,species,2,2,11,11,12,12,14,14,""" Maori chief "" and "" black cod "" , sometimes used for this species , usually refer to fishes from the related genus "" Notothenia "" ."
414706,tags,used,for,labeling,2,2,3,3,4,4,6,6,"Examples of tags used for protein labeling include biarsenical tags , Histidine tags , and FLAG tags ."
425264,algorithm,used,for,CRCs,23,23,24,24,25,25,26,26,"However it treated the low - level operation of the multi - drop protocol , including the modulus of sequence numbers and the algorithm used for CRCs etc . as primitives ."
429201,system,used,for,broadcasts,41,41,42,42,43,43,45,45,"Subsequently , E&D 's engineers proposed a system of analogue television encoding known as MAC ( Multiplexed Analogue Component ) to provide a standard for the forthcoming satellite television broadcasts that was more robust than an extension of the existing PAL system used for terrestrial broadcasts ."
431586,kiln,used,for,firing,1,1,2,2,3,3,6,6,The kiln used for the second firing is usually called a muffle kiln in Europe ; like other types of muffle furnaces the design isolates the objects from the flames producing the heat ( with electricity this is not so important ) .
431978,product,used,for,seasoning,26,26,27,27,28,28,29,29,"In the mid 20th century , the economy of the municipality was based on fishing , agriculture and the production of piloncillo , a sugar cane product used for seasoning ."
439001,wharves,used,for,shipping,8,8,9,9,10,10,12,12,"Historically , the Brisbane River had many commercial wharves used for the shipping of goods and passengers ."
442708,version,used,for,research,1,1,5,5,6,6,7,7,"A version of the robot used for research costs about $ 35,000 while a commercial version costs about $ 8,000.<ref name=""Cost / Use""></ref >"
444343,title,used,for,legislation,11,11,12,12,13,13,14,14,"Companies Act ( with its variations ) is a stock short title used for legislation in Botswana , Hong Kong , India , Kenya , Malaysia , New Zealand , South Africa and the United Kingdom in relation to company law ."
449477,term,used,for,person,9,9,10,10,11,11,13,13,"In gun culture , "" Bubba "" is a term used for a person who permanently alters or modifies historic firearms , with no regard for its historical value ."
457843,images,used,for,some,19,19,20,20,29,29,30,30,"He was self employed from 1987 to 2018 , working in association with design and architectural firms , producing images used in corporate marketing , communications and Annual Reports for some of Australia 's largest companies ."
459008,Items,used,for,lashing,0,0,1,1,2,2,3,3,"Items used for lashing include ropes , cables , wires , chains , strapping , and nets ."
464355,land,used,for,recreation,7,7,8,8,9,9,10,10,"The original building , with its of land used for recreation , sports and orchard cost 100,000 thousand pounds ."
469232,method,used,for,decades,4,4,5,5,8,8,10,10,This has been a method used by immigrants for many decades .
475140,design,used,for,season,19,19,20,20,21,21,24,24,"The traditional red V was once more reverted to , after the controversial design , with a more circular design used for the 1999 season ."
475954,effect,used,for,dialogue,34,34,35,35,36,36,37,37,"Goergen found the sound designs to be unmemorable , saying that the music does not add much and that players would be likely to mute the game after hearing the "" beeping "" sound effect used for dialogue for too long ."
478767,word,used,for,soil,17,17,18,18,22,22,24,24,"During this period Hays also wrote a play about the STFU , "" Gumbo "" ( a word used by the sharecroppers for their soil ) , which was produced at Highlander ."
484722,medium,used,for,writing,16,16,17,17,18,18,19,19,"From the Middle Ages to the early twentieth century , iron gall ink was the main medium used for writing in the Western world ."
488555,materials,used,for,fabrication,23,23,24,24,25,25,27,27,"Therefore , a vacuum - channel transistor can operate at a much higher temperature , only limited by the melting temperature of the materials used for its fabrication ."
491700,tongue,used,for,purpose,26,26,27,27,28,28,31,31,"Crystal ( 2003 ) notes that "" first language "" is distinguishable from "" second language "" ( a language other than one 's mother - tongue used for a special purpose , e.g. for education , government ) distinguishable in turn from "" foreign language "" ( where no such special status is implied ) ."
501089,model,used,for,figure,11,11,18,18,19,19,21,21,"The portrait of St Matthew is based on the same Italian model , or one extremely similar , used for the figure of Ezra that is one of the two large miniatures in the Codex Amiatinus ( before 716 ) , but the style there is very different ; a far more illusionistic treatment , and an "" attempt to introduce a pure Mediterranean style into Anglo - Saxon England "" , which failed , as "" perhaps too advanced "" , leaving these images apparently as the only evidence ."
502607,pattern,used,for,residences,10,10,11,11,12,12,13,13,"Throughout Chinese history , the siheyuan composition was the basic pattern used for residences , palaces , temples , monasteries , family businesses , and government offices ."
504400,methods,used,for,modification,27,27,30,30,31,31,34,34,The rise of research in cognitive bias modification has led to the recent publication of a special issue of the Journal of Abnormal Psychology focusing on the methods and technologies used for cognitive bias modification in psychopathology .
512976,plans,used,for,maintenance,22,22,23,23,24,24,25,25,"Rather , de ' Barbari seems to have started his drawing on the right side ( east ) , perhaps based on plans used for maintenance of the city 's waterways , and progressively compressed and distorted the scale as he ran out of space moving towards the left ( west ) edge ."
516693,Drifter,used,for,towing,15,15,16,16,17,17,19,19,"A number of Lockwood XP503s have been reported to have exceeded 3000 hours and one Drifter used for banner towing exceeded 10,000 flight hours ."
517204,flags,used,for,identification,35,35,36,36,37,37,38,38,"Naval flag signalling covers various forms of flag signalling , such as semaphore or flaghoist , used by various navies ; distinguished from maritime flag signalling by merchant or other non - naval vessels or flags used for identification ."
517999,music,used,for,titles,1,1,2,2,3,3,6,6,"The music used for the opening titles is "" Straight Up and Down "" by The Brian Jonestown Massacre ."
521993,dog,used,for,game,7,7,8,8,9,9,11,11,"Though it resembles a spaniel - like dog used for flushing game , such as Springers and Cockers , Brittanys are more akin to pointers and all - purpose sporting dogs ."
532865,places,used,for,shooting,1,1,2,2,3,3,5,5,"Other places used for location shooting were Madrid in August 2007 ; Baja California , Mexico in early 2008 , for shots of the aerial battle ; Malcesine , Limone sul Garda and Tremosine in Italy during March , and at Talamone during the end of April ."
534906,island,used,for,Man,48,48,55,55,56,56,59,59,"Two locations from previous Bond films were used : Brosnan and Hatcher 's love scene was filmed at Stoke Park Club , which had been featured in "" Goldfinger "" , and the bay where they search for Carver 's stealth boat is Khow - Ping - Khan island near Phuket , Thailand , previously used for "" The Man with the Golden Gun "" ."
539624,motifs,used,for,places,30,30,35,35,39,39,41,41,"While the music is not intended to be reminiscent of "" Final Fantasy XIII "" 's music , pieces set in scenes involving places or characters from the prequel use motifs and pieces of music used in that game for those places or characters ."
545916,glowplugs,used,for,starting,24,24,27,27,28,28,29,29,"Direct - injected small diesel engines still were not practical and the prechambered indirect injection engine was invented , along with the requirement of glowplugs to be used for starting ."
547430,insects,used,for,control,19,19,20,20,21,21,23,23,"The plant 's ability to host both pests and beneficials makes it potentially useful to maintain stable populations of insects used for biological control in other cultures , like "" Campylomma verbasci "" and "" Dicyphus hesperus "" ( Miridae ) , a predator of whiteflies ."
547936,lettering,used,for,markers,14,14,15,15,16,16,21,21,"The lettering of all names , months and the Ecclesiastes verse is the same lettering used for official government stone grave markers throughout the nation , including Arlington National Cemetery ."
548080,system,used,for,biking,4,4,5,5,6,6,7,7,"There is a trail system used for biking , hiking , and horseback riding ."
548336,class,used,for,racing,4,4,12,12,13,13,19,19,Class 40 is a class of monohull sailboat and a yacht primarily used for short handed offshore and coastal racing .
548897,name,used,for,mysteries,5,5,6,6,10,10,12,12,Anne Argula is a pen name used by Darryl Ponicsan for several mysteries set in the Pacific Northwest .
550598,greenhouse,used,for,reproduction,23,23,24,24,26,26,27,27,"The Hortus Generalis is divided into squares , set off by limestone steps , with two small greenhouses for succulents , a tropical greenhouse used primarily for reproduction of palms by seed and for cultivation of exotic plants , and three circular tanks for aquatic plants ."
557395,terminology,used,for,champagne,9,9,10,10,11,11,12,12,Bottles larger than 75 cl are named following the terminology used for champagne and are limited in quantity .
567687,drugs,used,for,purposes,20,20,31,31,32,32,36,36,"Illicit drugs include illegal drugs ( such as cannabis , opiates , and certain types of stimulants ) , pharmaceutical drugs ( such as pain - killers and tranquillisers ) when used for non - medical purposes , and other substances used inappropriately ( such as inhalants ) ."
571899,name,used,for,species,21,21,22,22,27,27,33,33,"The specific epithet is derived from the term “ angolafa ” or “ angolafo ” , which is the Malagasy vernacular name used by the Betsimisaraka people for the "" Dypsis "" palm species ( mostly for "" Dypsis lastelliana "" ) , whose leaves and prophylls are the habitat for this frog ."
574127,concerns,used,for,surveillance,12,12,30,30,38,38,40,40,"The oversight group Surveillance Technology Oversight Project ( STOP ) has stated concerns about the lack of privacy regulation in the OMNY system , specifically that trip data may be used by the New York City Police Department for police surveillance or might be shared with U.S. Immigration and Customs Enforcement to track undocumented immigrants ."
574359,agreement,used,for,purposes,12,12,26,26,27,27,29,29,"Between 1928 and 1929 , the Corporation of Glasgow made a feu agreement with the Forestry Commission for two sections of the Ardgoil estate to be used for afforestation purposes ."
587047,software,used,for,calculations,8,8,11,11,12,12,17,17,This is a list of open - source software to be used for high - order mathematical calculations .
587148,SPSS,used,for,analysis,9,9,12,12,13,13,15,15,"PSPP and JASP are open source software competitors to SPSS , widely used for statistical analysis of sampled data ."
587152,language,used,for,computing,4,4,7,7,8,8,10,10,R is both a language and software used for statistical computing and graphing .
589990,Tachistoscopes,used,for,purpose,0,0,1,1,2,2,4,4,"Tachistoscopes used for this purpose still typically employ slide projectors rather than computer monitors , due to"
592812,mutation,used,for,research,17,17,22,22,23,23,27,27,A knockout rat is a genetically engineered rat with a single gene turned off through a targeted mutation ( gene trapping ) used for academic and pharmaceutical research .
592905,pieces,used,for,disruption,12,12,15,15,16,16,18,18,Transposons and retrotransposons are valuable tools for unbiased gene discovery as mobile pieces of DNA used for gene disruption .
